id,submit_time,cpu,gpu,duration
instance_7281,683.0,64.0,0,91047.0
instance_7284,475.00000000000006,96.0,0,2368.0
instance_7286,536.0,192.0,0,3138.0000000000005
instance_7288,687.0,64.0,0,4353.0
instance_7289,736.0,64.0,0,136782.0
instance_7290,795.0,64.0,0,6195.0
instance_7291,795.0,64.0,0,17389.0
instance_7293,1641.0,96.0,0,141062.0
instance_7296,5687.0,192.0,0,126.0
instance_7297,3496.0,96.0,0,14742.0
instance_7299,3836.0000000000005,48.0,0,952.9999999999995
instance_7300,3973.0000000000005,12.0,1,1673.9999999999995
instance_7301,3974.0000000000005,12.0,1,1683.9999999999995
instance_7302,4012.0000000000005,12.0,1,1952.9999999999995
instance_7303,4290.0,64.0,0,20770.0
instance_7306,4275.0,64.0,0,288820.0
instance_7308,4824.0,8.0,1,11487.000000000002
instance_7309,6251.0,64.0,0,6492.0
instance_7310,6251.0,64.0,0,44741.0
instance_7311,6222.0,64.0,0,211149.0
instance_7314,7535.000000000001,64.0,0,43007.0
instance_7315,9423.0,192.0,0,131.0
instance_7316,8164.000000000001,64.0,0,17525.0
instance_7318,8975.0,64.0,0,57542.0
instance_7319,9124.0,8.0,1,3596.0
instance_7320,9124.0,8.0,1,14287.0
instance_7321,9634.0,48.0,0,295257.0
instance_7323,11708.0,64.0,0,117679.00000000001
instance_7324,13093.0,8.0,1,3586.0
instance_7325,13541.0,64.0,0,126.0
instance_7331,16286.000000000002,192.0,0,49138.00000000001
instance_7333,17180.0,96.0,0,22881.0
instance_7334,17237.0,64.0,0,67803.0
instance_7336,17237.0,64.0,0,29355.0
instance_7337,17237.0,96.0,0,100088.00000000001
instance_7338,17663.0,64.0,0,4396.0
instance_7339,17663.0,48.0,0,4529.0
instance_7340,18087.0,96.0,0,5181.0
instance_7343,21259.0,64.0,0,3762.0
instance_7346,22207.0,96.0,0,4611.0
instance_7348,23005.0,64.0,0,82947.0
instance_7350,24293.0,64.0,0,7489.000000000004
instance_7351,24439.0,64.0,0,10292.0
instance_7352,24439.0,64.0,0,104948.00000000001
instance_7353,24576.0,192.0,0,191679.0
instance_7354,25145.0,64.0,0,190053.0
instance_7357,26731.0,64.0,0,8147.0
instance_7359,27459.0,48.0,0,7032.0
instance_7361,28774.0,96.0,0,17752.0
instance_7362,30320.000000000004,64.0,0,33669.0
instance_7364,30546.000000000004,48.0,0,88574.00000000001
instance_7365,30899.000000000004,96.0,0,373.0
instance_7367,31233.000000000004,64.0,0,6912.999999999996
instance_7368,31276.000000000004,64.0,0,7172.999999999996
instance_7369,31277.000000000004,48.0,0,99592.00000000001
instance_7370,31233.000000000004,64.0,0,145292.0
instance_7371,31233.000000000004,48.0,0,153499.0
instance_7373,31285.000000000004,96.0,0,1110.0
instance_7374,31432.000000000004,48.0,0,240224.0
instance_7376,31436.000000000004,64.0,0,57557.0
instance_7377,31436.000000000004,64.0,0,58747.0
instance_7379,32362.000000000004,8.0,1,66223.0
instance_7381,32963.0,96.0,0,2571.0
instance_7382,33018.0,96.0,0,108574.0
instance_7384,33606.0,64.0,0,129.0
instance_7385,33978.0,96.0,0,7828.0
instance_7386,34345.0,64.0,0,13047.0
instance_7387,34345.0,64.0,0,8985.0
instance_7389,35985.0,64.0,0,1815.0
instance_7390,37034.0,192.0,0,168280.0
instance_7391,37320.0,64.0,0,8824.0
instance_7392,37320.0,64.0,0,8923.0
instance_7393,37350.0,64.0,0,9248.0
instance_7394,37320.0,48.0,0,7047.0
instance_7395,37349.0,64.0,0,9108.0
instance_7396,37320.0,48.0,0,47282.0
instance_7397,37320.0,48.0,0,145768.0
instance_7398,37853.0,8.0,1,6011.0
instance_7399,37986.0,8.0,1,170759.0
instance_7402,37984.0,64.0,0,12548.0
instance_7403,38065.0,64.0,0,8032.0
instance_7404,38040.0,64.0,0,38712.0
instance_7406,38219.0,64.0,0,8221.0
instance_7407,39085.0,96.0,0,99132.0
instance_7409,38382.0,192.0,0,37742.0
instance_7412,38499.0,64.0,0,28267.0
instance_7413,38549.0,64.0,0,9979.0
instance_7414,38563.0,64.0,0,28835.0
instance_7416,38670.0,64.0,0,32519.0
instance_7419,39105.0,96.0,0,90764.00000000001
instance_7425,40020.0,96.0,0,100808.0
instance_7427,40022.0,96.0,0,7245.0
instance_7430,40684.0,48.0,0,121.0
instance_7431,41121.0,96.0,0,5361.0
instance_7432,41181.0,64.0,0,88433.00000000001
instance_7434,41307.0,64.0,0,37873.0
instance_7435,42382.0,48.0,0,261558.0
instance_7437,42728.0,64.0,0,8467.0
instance_7438,42757.0,192.0,0,68258.0
instance_7439,43532.0,8.0,1,169885.0
instance_7440,43537.0,48.0,0,47910.0
instance_7441,43637.0,48.0,0,481.0
instance_7443,44853.0,12.0,1,552.0
instance_7444,45324.0,64.0,0,92184.0
instance_7445,45280.0,64.0,0,92309.0
instance_7446,45324.0,96.0,0,265327.0
instance_7448,45324.0,64.0,0,92573.0
instance_7449,45324.0,64.0,0,93634.0
instance_7460,45281.0,48.0,0,4768.0
instance_7461,45281.0,48.0,0,5524.0
instance_7462,45324.0,64.0,0,5533.0
instance_7463,45323.0,96.0,0,91968.0
instance_7464,45281.0,96.0,0,167753.0
instance_7465,45281.0,48.0,0,173426.0
instance_7469,45611.0,64.0,0,6533.0
instance_7472,46603.0,192.0,0,20064.0
instance_7473,46546.0,64.0,0,38954.0
instance_7474,46546.0,48.0,0,52900.0
instance_7475,46876.0,64.0,0,11551.000000000007
instance_7476,47802.0,64.0,0,97642.0
instance_7477,48867.0,8.0,1,172395.0
instance_7479,49765.0,64.0,0,6202.0
instance_7481,49706.0,64.0,0,90527.0
instance_7484,49796.0,64.0,0,27656.0
instance_7485,49827.0,64.0,0,87310.0
instance_7486,49827.0,64.0,0,16696.0
instance_7488,49886.0,64.0,0,42330.0
instance_7489,50366.0,64.0,0,17804.0
instance_7490,50516.0,64.0,0,25250.0
instance_7492,51296.0,64.0,0,13613.000000000007
instance_7493,51988.0,64.0,0,65864.00000000001
instance_7494,52722.0,8.0,1,207423.00000000003
instance_7497,54508.0,8.0,1,246550.0
instance_7499,55549.0,64.0,0,16753.0
instance_7500,55549.0,64.0,0,33793.0
instance_7501,55579.0,64.0,0,83468.0
instance_7502,55607.0,12.0,1,1568.0
instance_7508,55627.0,12.0,1,1548.0
instance_7515,56103.0,64.0,0,4107.000000000007
