time,gpu_utilization
0.0,0.0
475.00000000000006,0.0
536.0,0.0
683.0,0.0
687.0,0.0
736.0,0.0
795.0,0.0
1641.0,0.0
2843.0,0.0
3496.0,0.0
3674.0000000000005,0.0
3836.0000000000005,0.0
3973.0000000000005,0.0
3974.0000000000005,0.005
4012.0000000000005,0.01
4275.0,0.015
4290.0,0.015
4789.0,0.015
4824.0,0.015
5040.0,0.02
5647.0,0.015
5658.0,0.01
5687.0,0.01
5813.0,0.01
5965.0,0.005
6222.0,0.005
6251.0,0.005
6990.0,0.005
7535.000000000001,0.005
8164.000000000001,0.005
8975.0,0.005
9124.0,0.005
9423.0,0.015
9554.0,0.015
9634.0,0.015
11708.0,0.015
12720.0,0.01
12743.0,0.01
13093.0,0.01
13541.0,0.015
13667.0,0.015
16286.000000000002,0.015
16311.000000000002,0.01
16679.0,0.005
17180.0,0.005
17237.0,0.005
17663.0,0.005
18087.0,0.005
18184.0,0.005
18238.0,0.005
21259.0,0.005
22059.0,0.005
22192.0,0.005
22207.0,0.005
23005.0,0.005
23268.0,0.005
23411.0,0.0
24293.0,0.0
24439.0,0.0
24576.0,0.0
25021.0,0.0
25060.0,0.0
25145.0,0.0
25689.0,0.0
26731.0,0.0
26818.0,0.0
27459.0,0.0
28774.0,0.0
30320.000000000004,0.0
30546.000000000004,0.0
30899.000000000004,0.0
31233.000000000004,0.0
31272.000000000004,0.0
31276.000000000004,0.0
31277.000000000004,0.0
31285.000000000004,0.0
31432.000000000004,0.0
31436.000000000004,0.0
31782.000000000004,0.0
32362.000000000004,0.0
32395.000000000004,0.005
32963.0,0.005
33018.0,0.005
33606.0,0.005
33735.0,0.005
33978.0,0.005
34345.0,0.005
34491.0,0.005
34731.0,0.005
34878.0,0.005
35534.0,0.005
35985.0,0.005
37034.0,0.005
37320.0,0.005
37349.0,0.005
37350.0,0.005
37800.0,0.005
37853.0,0.005
37984.0,0.01
37986.0,0.01
38040.0,0.015
38065.0,0.015
38146.0,0.015
38219.0,0.015
38382.0,0.015
38449.0,0.015
38499.0,0.015
38549.0,0.015
38563.0,0.015
38670.0,0.015
39085.0,0.015
39105.0,0.015
40020.0,0.015
40022.0,0.015
40061.0,0.015
40684.0,0.015
40805.0,0.015
41121.0,0.015
41181.0,0.015
41307.0,0.015
41806.0,0.015
42382.0,0.015
42728.0,0.015
42757.0,0.015
43330.0,0.015
43532.0,0.015
43537.0,0.02
43637.0,0.02
43864.0,0.015
44118.0,0.015
44367.0,0.015
44853.0,0.015
45280.0,0.02
45281.0,0.02
45323.0,0.02
45324.0,0.02
45405.0,0.015
45611.0,0.015
46097.0,0.015
46144.0,0.015
46243.0,0.015
46440.0,0.015
46457.0,0.015
46482.0,0.015
46526.0,0.015
46546.0,0.015
46592.0,0.015
46598.0,0.015
46603.0,0.015
46876.0,0.015
47267.0,0.015
47392.0,0.015
47802.0,0.015
48528.0,0.015
48867.0,0.015
49706.0,0.02
49765.0,0.02
49796.0,0.02
49827.0,0.02
49886.0,0.02
50049.0,0.02
50366.0,0.02
50516.0,0.02
50532.0,0.02
50542.0,0.02
50805.0,0.02
50857.0,0.02
50992.0,0.02
51195.0,0.02
51296.0,0.02
51988.0,0.02
52144.0,0.02
52722.0,0.02
54508.0,0.025
55549.0,0.03
55579.0,0.03
55607.0,0.03
55627.0,0.035
55967.0,0.04
56103.0,0.04
57175.0,0.03
57934.0,0.03
58427.00000000001,0.03
58563.00000000001,0.03
58773.00000000001,0.03
59184.00000000001,0.03
59703.00000000001,0.03
60210.00000000001,0.03
62326.00000000001,0.03
62788.00000000001,0.03
63109.00000000001,0.04
63513.00000000001,0.04
63989.0,0.04
64095.00000000001,0.04
64909.00000000001,0.04
65424.00000000001,0.04
65625.0,0.04
66019.0,0.04
66467.0,0.04
66517.0,0.04
66523.0,0.04
66667.0,0.04
66766.0,0.04
67170.0,0.04
67398.0,0.045
67698.0,0.045
67699.0,0.045
67740.0,0.045
68072.0,0.04
68170.0,0.04
69420.0,0.04
69593.0,0.04
70221.0,0.035
70321.0,0.035
70704.0,0.035
71189.0,0.035
71875.0,0.035
72302.0,0.035
72996.0,0.035
73494.0,0.04
73525.0,0.035
74067.0,0.035
74717.0,0.035
74746.0,0.035
75025.0,0.035
75361.0,0.035
75766.0,0.035
76074.0,0.035
76124.0,0.035
76130.0,0.035
76752.0,0.035
76975.0,0.035
77452.0,0.035
77552.0,0.035
78088.0,0.035
78632.0,0.035
78633.0,0.035
79112.0,0.035
79180.0,0.035
79263.0,0.035
79427.0,0.035
80012.0,0.035
80376.0,0.03
80673.0,0.03
81392.0,0.03
82363.0,0.03
82503.0,0.03
83982.0,0.03
84012.0,0.03
84187.0,0.03
84189.0,0.03
84219.0,0.03
84339.0,0.03
84602.0,0.03
84639.0,0.03
84972.0,0.03
85000.0,0.03
85040.0,0.03
85095.0,0.03
85284.0,0.03
85473.0,0.03
85500.0,0.03
86292.0,0.03
87576.0,0.03
87997.0,0.03
88211.0,0.03
88325.0,0.035
88381.0,0.035
88667.0,0.035
88795.0,0.035
88873.0,0.035
88890.0,0.035
88899.0,0.035
88985.0,0.035
88993.0,0.035
89342.0,0.035
89441.0,0.035
90183.0,0.035
90750.0,0.035
90782.0,0.035
90912.0,0.035
91447.0,0.035
91626.0,0.035
91627.0,0.035
91670.0,0.035
91730.0,0.035
91888.0,0.035
91985.0,0.045
92198.0,0.045
92216.0,0.045
92513.0,0.045
92662.0,0.045
92901.0,0.045
92961.0,0.045
93046.0,0.055
93091.0,0.06
93106.0,0.065
93270.0,0.07
93531.0,0.07
95368.0,0.075
95597.0,0.075
95927.0,0.075
96089.0,0.075
96315.0,0.075
96316.0,0.075
96497.0,0.075
96881.0,0.075
96939.0,0.08
97407.0,0.075
97457.0,0.075
98585.0,0.07
98753.0,0.07
98768.0,0.07
98771.0,0.065
98948.0,0.065
99446.0,0.065
99891.0,0.065
100334.0,0.065
101010.0,0.065
102204.0,0.07
102644.0,0.07
103732.0,0.07
104262.0,0.065
104608.0,0.06
105026.0,0.06
105168.0,0.06
105239.0,0.06
105277.0,0.06
105482.0,0.06
105718.0,0.06
105952.0,0.06
107989.0,0.06
108893.0,0.065
109749.0,0.065
109852.0,0.055
111015.0,0.055
112640.0,0.055
113152.0,0.055
113289.0,0.055
113614.0,0.055
115046.0,0.055
115481.0,0.055
115526.0,0.055
115682.0,0.055
116630.0,0.055
116703.0,0.055
116732.0,0.055
116763.0,0.055
116793.0,0.055
117115.00000000001,0.055
117131.00000000001,0.055
117211.00000000001,0.055
117216.00000000001,0.055
117272.00000000001,0.055
117325.00000000001,0.055
117392.00000000001,0.055
117852.00000000001,0.055
118075.00000000001,0.055
118232.00000000001,0.055
118363.00000000001,0.055
118773.00000000001,0.055
119120.00000000001,0.055
119939.00000000001,0.055
120225.00000000001,0.055
120515.00000000001,0.055
122344.00000000001,0.055
122600.00000000001,0.055
122783.00000000001,0.055
123454.00000000001,0.055
124536.00000000001,0.055
124561.00000000001,0.055
124924.00000000001,0.06
124925.00000000001,0.06
124935.00000000001,0.06
125054.00000000001,0.06
125200.00000000001,0.06
125756.00000000001,0.06
126387.00000000001,0.06
