id,submit_time,cpu,gpu,duration,assigned_node,start_time,end_time,wait_time,turnaround_time
instance_7284,475.00000000000006,96.0,0,2368.0,n-0,475.00000000000006,2843.0,0.0,2368.0
instance_7286,536.0,192.0,0,3138.0000000000005,n-1,536.0,3674.0000000000005,0.0,3138.0000000000005
instance_7281,683.0,64.0,0,91047.0,n-2,683.0,91730.0,0.0,91047.0
instance_7288,687.0,64.0,0,4353.0,n-3,687.0,5040.0,0.0,4353.0
instance_7289,736.0,64.0,0,136782.0,n-4,736.0,137518.0,0.0,136782.0
instance_7290,795.0,64.0,0,6195.0,n-5,795.0,6990.0,0.0,6195.0
instance_7291,795.0,64.0,0,17389.0,n-6,795.0,18184.0,0.0,17389.0
instance_7293,1641.0,96.0,0,141062.0,n-7,1641.0,142703.0,0.0,141062.0
instance_7297,3496.0,96.0,0,14742.0,n-8,3496.0,18238.0,0.0,14742.0
instance_7299,3836.0000000000005,48.0,0,952.9999999999995,n-9,3836.0000000000005,4789.0,0.0,952.9999999999995
instance_7300,3973.0000000000005,12.0,1,1673.9999999999995,n-10,3973.0000000000005,5647.0,0.0,1673.9999999999995
instance_7301,3974.0000000000005,12.0,1,1683.9999999999995,n-11,3974.0000000000005,5658.0,0.0,1683.9999999999995
instance_7302,4012.0000000000005,12.0,1,1952.9999999999995,n-12,4012.0000000000005,5965.0,0.0,1952.9999999999995
instance_7306,4275.0,64.0,0,288820.0,n-13,4275.0,293095.0,0.0,288820.0
instance_7303,4290.0,64.0,0,20770.0,n-14,4290.0,25060.0,0.0,20770.0
instance_7308,4824.0,8.0,1,11487.000000000002,n-15,4824.0,16311.000000000002,0.0,11487.000000000002
instance_7296,5687.0,192.0,0,126.0,n-16,5687.0,5813.0,0.0,126.0
instance_7311,6222.0,64.0,0,211149.0,n-17,6222.0,217371.0,0.0,211149.0
instance_7309,6251.0,64.0,0,6492.0,n-18,6251.0,12743.0,0.0,6492.0
instance_7310,6251.0,64.0,0,44741.0,n-19,6251.0,50992.0,0.0,44741.0
instance_7314,7535.000000000001,64.0,0,43007.0,n-20,7535.000000000001,50542.0,0.0,43007.0
instance_7316,8164.000000000001,64.0,0,17525.0,n-21,8164.000000000001,25689.0,0.0,17525.0
instance_7318,8975.0,64.0,0,57542.0,n-22,8975.0,66517.0,0.0,57542.0
instance_7319,9124.0,8.0,1,3596.0,n-23,9124.0,12720.0,0.0,3596.0
instance_7320,9124.0,8.0,1,14287.0,n-24,9124.0,23411.0,0.0,14287.0
instance_7315,9423.0,192.0,0,131.0,n-25,9423.0,9554.0,0.0,131.0
instance_7321,9634.0,48.0,0,295257.0,n-26,9634.0,304891.0,0.0,295257.0
instance_7323,11708.0,64.0,0,117679.00000000001,n-27,11708.0,129387.00000000001,0.0,117679.00000000001
instance_7324,13093.0,8.0,1,3586.0,n-28,13093.0,16679.0,0.0,3586.0
instance_7325,13541.0,64.0,0,126.0,n-29,13541.0,13667.0,0.0,126.0
instance_7331,16286.000000000002,192.0,0,49138.00000000001,n-30,16286.000000000002,65424.00000000001,0.0,49138.00000000001
instance_7333,17180.0,96.0,0,22881.0,n-31,17180.0,40061.0,0.0,22881.0
instance_7334,17237.0,64.0,0,67803.0,n-32,17237.0,85040.0,0.0,67803.0
instance_7336,17237.0,64.0,0,29355.0,n-33,17237.0,46592.0,0.0,29355.0
instance_7337,17237.0,96.0,0,100088.00000000001,n-34,17237.0,117325.00000000001,0.0,100088.00000000001
instance_7338,17663.0,64.0,0,4396.0,n-35,17663.0,22059.0,0.0,4396.0
instance_7339,17663.0,48.0,0,4529.0,n-36,17663.0,22192.0,0.0,4529.0
instance_7340,18087.0,96.0,0,5181.0,n-37,18087.0,23268.0,0.0,5181.0
instance_7343,21259.0,64.0,0,3762.0,n-38,21259.0,25021.0,0.0,3762.0
instance_7346,22207.0,96.0,0,4611.0,n-39,22207.0,26818.0,0.0,4611.0
instance_7348,23005.0,64.0,0,82947.0,n-40,23005.0,105952.0,0.0,82947.0
instance_7350,24293.0,64.0,0,7489.000000000004,n-41,24293.0,31782.000000000004,0.0,7489.000000000004
instance_7351,24439.0,64.0,0,10292.0,n-42,24439.0,34731.0,0.0,10292.0
instance_7352,24439.0,64.0,0,104948.00000000001,n-43,24439.0,129387.00000000001,0.0,104948.00000000001
instance_7353,24576.0,192.0,0,191679.0,n-44,24576.0,216255.0,0.0,191679.0
instance_7354,25145.0,64.0,0,190053.0,n-45,25145.0,215198.0,0.0,190053.0
instance_7357,26731.0,64.0,0,8147.0,n-46,26731.0,34878.0,0.0,8147.0
instance_7359,27459.0,48.0,0,7032.0,n-47,27459.0,34491.0,0.0,7032.0
instance_7361,28774.0,96.0,0,17752.0,n-48,28774.0,46526.0,0.0,17752.0
instance_7362,30320.000000000004,64.0,0,33669.0,n-49,30320.000000000004,63989.0,0.0,33669.0
